GOOGLE_REVIEWS ID,Business Rating,Business Reviews,Source URL,Business Name,Author Name,Local Guide,Review Text,Review Rating,Review Date,Author URL,Topic Keywords,Topics
22,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Eli  Rubio,Local Guide,"ordered online went to pick it up all under 20 min, nice.",4 stars,a month ago,https://www.google.com/maps/contrib/103168342501959413310/reviews?hl=en-CA,[online],[]
23,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Shaun  Harvey,Local Guide,this is a great place to shop. always has tools on sale,5 stars,a month ago,https://www.google.com/maps/contrib/101706914115187667403/reviews?hl=en-CA,"[great, place, shop, sale]",[3]
24,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Deborah  Butt-hewings,Local Guide,great customer service.toasters were on sale. there were no more on self.the lady in that dept looked up for us inventory found one for us.she was fantastic so friendly for boxing day sale the checkout clerk was so friendly as well.canadian tire is always so friendly and will look up if any item is in store in another location.,5 stars,3 months ago,https://www.google.com/maps/contrib/104353079625813450233/reviews?hl=en-CA,"[great, customer, sale, found, friendly, sale, friendly, tire, friendly, item, store, location]","[3, 1, 4]"
25,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Jane  Hill,"",they never have the stock in that the website states they have; it's hard to find someone to help you outside of the auto section; staff is rude when reluctantly assisting customers,1 star,an hour ago,https://www.google.com/maps/contrib/103606263384586000650/reviews?hl=en-CA,"[stock, hard, find, auto, staff, rude, customers]","[2, 1]"
26,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Ash,Local Guide,much much better than before. maybe work on their consumable sales items to bring customers in. these items are more likely to bring people in from walmart. smart up guys! don't make money on high q items to increase traffic. i wish them success as a canadian company in such competitive market.,4 stars,6 months ago,https://www.google.com/maps/contrib/115236050778659194765/reviews?hl=en-CA,"[work, sales, items, customers, items, people, items, canadian]","[2, 4]"
27,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Glen  Atwell,Local Guide,check the inventory on the website and call ahead and you can't fail. prices are a little high but if you need to fix somwthing they almost always have it or they can get it.,4 stars,a week ago,https://www.google.com/maps/contrib/113646916808663831819/reviews?hl=en-CA,"[check, prices]",[]
28,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Denise  Liberty,Local Guide,picked up an online order.. longish wait at customer service.. ct never has enough staff.. clerk was nice and very helpful but needed a manager over ride.. it would be nice if the store gave the staff the tools they need to do their jobs .,4 stars,6 months ago,https://www.google.com/maps/contrib/109515603026367992770/reviews?hl=en-CA,"[online, customer, service, staff, helpful, needed, manager, store, staff]","[2, 3, 1, 4]"
29,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Hratch,Local Guide,good ct. always in there getting the things i need when in town. friendly people as well.,5 stars,2 months ago,https://www.google.com/maps/contrib/117532128413668089701/reviews?hl=en-CA,"[good, things, friendly, people]","[4, 3]"
30,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Ron  Ward,Local Guide,50 dollars for a cabin air filter really! found the same one at competitor for 16 dollars if canadian tire seems a bit expensive it probably is . be carefull lots of items there are way over priced. every time i see this practice i think twice before going back,2 stars,a month ago,https://www.google.com/maps/contrib/105389830988090564583/reviews?hl=en-CA,"[found, canadian, tire, items, time, back]","[4, 2]"
31,3.3,703 reviews,"https://www.google.ca/maps/place/Canadian+Tire/@43.1718328,-80.2474798,17z/data=!3m1!4b1!4m10!1m2!2m1!1scanadian+tire!3m6!1s0x882c65baad6f5e09:0x2b32377dd4265875!8m2!3d43.1718289!4d-80.2452911!9m1!1b1","Canadian Tire - Brantford, ON",Jamie  Clements,"",went in to return some engine coolant paid cash at purchase could not find my receipt. i just wanted to get a store credit to pick up the correct product i need and was denied at the service desk for not having a receipt. upon leaving the …,1 star,4 months ago,https://www.google.com/maps/contrib/118313925558199841996/reviews?hl=en-CA,"[return, find, store, product, service, desk]","[1, 3, 2]"
